id,name,type (0/1 - Ziffer oder Medium),region (0/1),published
Coupe,Coupé ,1,0,1
Bild,Bild,1,0,1
Tango,Tango,1,0,1
CMP,Chemnitzer Morgenpost,1,1,1
ANZ,Andere Zeitung,1,0,1
Titanic,Titanic,1,0,1
ABZ,Abendzeitung,1,1,1
Hoerzu,Hörzu,1,0,1
BZ,B.Z,1,1,1
BK,Berliner Kurier,1,1,1
WHN,Weinheimer Nachrichten,1,1,1
CE,City Express,1,1,1
Bravo,Bravo,1,0,1
MM,Münchner Merkur,1,1,1
ES,Eulenspiegel,1,0,1
NP,Neue Post,1,0,1
Praline,Praline,1,0,1
Taz,TAZ,1,0,1
WFB,Westfalen-Blatt,1,1,1
OHA,Ostholsteiner Anzeiger,1,1,1
BE,Bürger-Echo,1,1,1
Stern,Stern,1,0,1
JW,Junge Welt,1,0,1
BI,Blitz-Illu,1,0,1
AP,Animal Peace,1,0,1
DZ,Die Zeit,1,0,1
SGZ,Siegener Zeitung,1,1,1
HS,Heilbronner Stimme,1,1,1
BG,Bravo Girl,1,0,1
LN,Lübecker Nachrichten,1,1,1
NRZ,N.R.Z.,1,1,1
MRUP,Magazin Reise & Preise,1,0,1
Sabah,Sabah,1,0,1
TS,Telestunde,1,0,1
NPR,Neue Presse,1,1,1
RP,Rheinische Post,1,1,1
Shape,Shape,1,0,1
GP,Graue Panther,1,1,1
Huerriyet,Hürriyet,1,0,1
Ziffer1,Pressekodex Ziffer 1,0,NA,NA
Ziffer2,Pressekodex Ziffer 2,0,NA,NA
Ziffer4,Pressekodex Ziffer 4,0,NA,NA
Ziffer5,Pressekodex Ziffer 5,0,NA,NA
Ziffer7,Pressekodex Ziffer 7,0,NA,NA
Ziffer8,Pressekodex Ziffer 8,0,NA,NA
Ziffer9,Pressekodex Ziffer 9,0,NA,NA
Ziffer10,Pressekodex Ziffer 10,0,NA,NA
Ziffer11,Pressekodex Ziffer 11,0,NA,NA
Ziffer12,Pressekodex Ziffer 12,0,NA,NA
Ziffer13,Pressekodex Ziffer 13,0,NA,NA
Ziffer14,Pressekodex Ziffer 14,0,NA,NA
